 ﻿ㄅ
ㄛ ㄛ
一 一周年
一 一味
一 一呼百應
一 一呼百諾
一 一命
一 一命嗚呼
一 一和
一 一咬
一 一品
一 一品夫人
一 一品鍋
一 一哄而上
一 一哄而散
一 一員
一 一員大將
一 一唱一和
一 一問
一 一問一答
一 一問三不知
一 一問之下
一 一喊
一 一喊出
一 一喊到
一 一喝
一 一喝到
一 一噸
一 一噸半
一 一回
一 一回事
一 一回來
一 一回到
一 一回去
一 一回生二回熟
一 一回生兩回熟
一 一圈
一 一國
一 一國之主
一 一國之君
一 一國兩制
一 一圓
一 一團
一 一團和氣
一 一團糟
一 一在
一 一地
一 一地裡
一 一堂
一 一堂課
一 一堆
一 一堆堆
一 一報
一 一報到
一 一報還一報
一 一場
一 一場空
一 一塊
一 一塊兒
一 一塊塊
一 一塊肉
一 一塊錢
一 一塌糊塗
一 一塗
一 一填
一 一塵不染
一 一壁
一 一壓
一 一壓下
一 一壓到
一 一壓在
一 一壘
一 一壘手
一 一壺
一 一壺水
一 一壺酒
一 一夔已足
一 一夕
一 一夕之間
一 一多
一 一夜
一 一夜情
一 一夜無夢
一 一夜致富
一 一夜風流
一 一夢漫言
一 一夥
一 一夥人
一 一夥兒
一 一大堆
一 一大塊
一 一大早
一 一大會兒
一 一大片
一 一天
一 一天到晚
一 一天天
一 一夫
一 一夫一妻
一 一夫一妻制
一 一夫多妻
一 一夫當關
一 一失足成千古恨
一 一套
一 一套套
一 一女一男
一 一好
一 一如
一 一如往昔
一 一如既往
一 一妻
一 一妻制
一 一妻多夫
一 一妻多夫制
一 一子一女
一 一孔之見
一 一字
一 一字不差
一 一字不漏
一 一字不識
一 一字之差
一 一字之師
一 一字千金
一 一字師
一 一存
一 一孝
一 一季
一 一學
一 一學到
一 一學期
一 一學起
一 一官半職
一 一定
一 一定在
一 一定是
一 一定會
一 一定有
一 一定能
一 一客
一 一家
一 一家之主
一 一家人
一 一家大小
一 一家子
一 一宿
一 一寫
一 一寫出
一 一寫到
一 一寶
一 一寸
一 一寸光陰一寸金
一 一封
一 一封信
一 一封封
一 一將
一 一將功成萬骨枯
一 一將難求
一 一尊
一 一對
一 一對一
一 一對多
一 一對對
一 一小
一 一小堆
一 一小塊
一 一小撮
一 一小時
一 一小片
一 一尺
一 一局
一 一局上半
一 一局下半
一 一屁股
一 一屁股債
一 一屆
一 一展身手
一 一展長才
一 一層
一 一層層
一 一層樓
一 一山
一 一山還比一山高
一 一左一右
一 一己
一 一己之私
一 一己之見
一 一巴掌
一 一巷
一 一帆風順
一 一席
一 一席之地
一 一席話
一 一帶
一 一幀
一 一幅
一 一幕
一 一幫
一 一干
一 一年
一 一年之計
一 一年到頭
一 一年半
一 一年半載
一 一年四季
一 一年生
一 一年生植
一 一年級
一 一度
一 一座
一 一廂
一 一廂情願
一 一廳
一 一式
一 一張
一 一彈
一 一彈指
一 一往
一 一往情深
一 一往直前
一 一律
一 一得
一 一得到
一 一德一心
一 一心
一 一心一意
一 一心二用
一 一心向上
一 一忍再忍
一 一忠
一 一念
一 一念三千
一 一念之差
一 一念之間
一 一念無明
一 一忽兒
一 一忽見
一 一怒
一 一怒之下
一 一息尚存
一 一想
一 一想之下
一 一意
一 一意孤行
一 一愛
一 一愛上
一 一愣
一 一應
一 一應俱全
一 一成
一 一成不變
一 一截
一 一戰
一 一戰之下
一 一戶
一 一戶戶
一 一房
一 一房一廳
一 一所
一 一所所
一 一扇
一 一扇門
一 一手
一 一手交貨
一 一手交錢
一 一手包辦
一 一手提拔
一 一手遮天
一 一打
一 一扯
一 一批
一 一技
一 一技之長
一 一把
一 一把手
一 一把抓
一 一把辛酸淚
一 一披
一 一抬
一 一抬到
一 一抬頭
一 一抱
一 一抹
一 一拉
一 一拉之下
一 一拍
一 一拍即合
一 一招
一 一招半式
一 一拜
一 一拜天地
一 一拳
一 一指神功
一 一按
一 一按下
一 一按到
一 一按在
一 一掃
一 一掃而光
一 一掃而空
一 一掉
一 一掉頭
一 一掌
一 一排
一 一掛
一 一掛之下
一 一推
一 一推之下
一 一提
一 一提之下
一 一揮
一 一揮而就
一 一搖
一 一搞
一 一摸
一 一摸之下
一 一撥
一 一播
一 一播出
一 一撮
一 一擁而上
一 一擲千金
一 一支
一 一改
一 一放
一 一敗塗地
一 一敷
一 一數
一 一文
一 一文不值
一 一文不名
一 一文錢
一 一斤
一 一新
一 一新耳目
一 一斷
一 一方
一 一方面
一 一旁
一 一旁涼快
一 一旅
一 一族
一 一日
一 一日三市
一 一日三秋
一 一日不見
一 一日之計
一 一日之計在於晨
一 一日之雅
一 一日九遷
一 一日份
一 一日千里
一 一日夫妻百日恩
一 一日數驚
一 一日為師
一 一旦
一 一早
一 一早就
一 一旬
一 一星
一 一星期
一 一昧
一 一是
一 一時
一 一時一刻
一 一時三刻
一 一時之選
一 一時之間
一 一時半刻
一 一時糊塗
一 一時間
一 一晃
一 一晃眼
一 一晃而過
一 一晚
一 一晝
一 一智
一 一暴十寒
一 一曝十寒
一 一曲
一 一會
一 一會兒
一 一月
一 一月份
一 一有
一 一服
一 一望無垠
一 一望無邊
一 一望無際
一 一望而知
一 一朝
一 一朝一夕
一 一朝之忿
一 一朝天子
一 一朝天子一朝臣
一 一朝被蛇咬
一 一期
一 一期稻作
一 一木難扶
一 一木難支
一 一本
一 一本初衷
一 一本書
一 一本正經
一 一本萬利
一 一朵
一 一朵花
一 一村
一 一束
一 一束花
一 一杯
一 一板
一 一板一眼
一 一枚
一 一枝
一 一枝之棲
一 一枝春
一 一枝獨秀
一 一枝筆
一 一枝花
一 一枝草
一 一枝香
一 一架
一 一柱擎天
一 一株
一 一根
一 一根根
一 一根煙
一 一格
一 一桌
一 一桶
一 一桶桶
一 一桿
一 一條
一 一條條
一 一條鞭
一 一條鞭法
一 一條龍
一 一梯
一 一梯次
一 一棒
一 一棟
一 一棟棟
一 一棵
一 一概
一 一概不理
一 一概不管
一 一概而論
一 一槍
一 一槓
一 一樁
一 一樓
一 一模一樣
一 一樣
一 一樣可以
一 一樣在
一 一樣是
一 一樣會
一 一樣有
一 一樣能
一 一樹百穫
一 一檔
一 一櫃
一 一次
一 一次方程
一 一次方程式
一 一次次
一 一正
一 一正一負
一 一步
一 一步一腳印
一 一步步
一 一步法
一 一步登天
一 一歲
一 一死
一 一死一傷
一 一死了之
一 一段
一 一段票
一 一段路
一 一比
一 一毛
一 一毛不拔
一 一毛錢
一 一毫
一 一民
一 一氣
一 一氣之下
一 一氣呵成
一 一氧
一 一氧化物
一 一氧化碳
一 一氧化鉛
一 一池
一 一池春水
一 一池秋水
一 一決勝負
一 一決雌雄
一 一沐三握髮
一 一沖
一 一泡
一 一波
一 一波三折
一 一波又起
一 一波未平
一 一洗
一 一洗塵俗
一 一洞
一 一派
一 一派胡言
一 一流
一 一流人才
一 一流學府
一 一涼
一 一添
一 一清
一 一清二楚
一 一清二白
一 一清如水
一 一清專案
一 一清早
一 一測
一 一準
一 一溜煙
一 一滑
一 一滴
一 一滴水
一 一潑
一 一瀉千里
一 一火
一 一炮
一 一炮而紅
一 一炷香
一 一無
一 一無可取
一 一無所得
一 一無所恃
一 一無所有
一 一無所獲
一 一無所知
一 一無所長
一 一無是處
一 一無長物
一 一煮
一 一營
一 一爭長短
一 一片
一 一片丹心
一 一片冰心
一 一片成名
一 一片汪洋
一 一片漆黑
一 一片片
一 一片狼籍
一 一片狼藉
一 一片痴心
一 一片苦心
一 一版
一 一物
一 一物剋一物
一 一物降一物
一 一牽
一 一狀
一 一狐之腋
一 一獎
一 一班
一 一班人
一 一球
一 一環
一 一瓣
一 一生
一 一生一世
一 一生受用不盡
一 一產
一 一用
一 一用到
一 一甲
一 一甲子
一 一男
一 一男一女
一 一男二女
一 一男半女
一 一番
一 一番苦心
一 一番話
一 一畫
一 一當
一 一疊
一 一病
一 一病不起
一 一瘸一拐
一 一登龍門
一 一發
一 一發不可
一 一發不可收拾
一 一百
一 一百人
一 一百個
一 一百元
一 一百塊
一 一百萬
一 一盒
一 一盒盒
一 一盞
一 一盞燈
一 一盞盞
一 一盤
一 一盤散沙
一 一盤棋
一 一盤菜
一 一目了然
一 一目十行
一 一目瞭然
一 一直
一 一直在
一 一直是
一 一直都
一 一相情願
一 一看
一 一看之下
一 一看再看
一 一看出
一 一看到
一 一眨
一 一眨眼
一 一眼
一 一眼看穿
一 一睹
一 一睹之下
一 一瞄
一 一瞥
一 一瞧
一 一瞧之下
一 一瞬
一 一瞬間
一 一瞻丰采
一 一知半解
一 一石二鳥
一 一石兩鳥
一 一砍
一 一砲而紅
一 一破
一 一碗
一 一碟
一 一碼
一 一磅
一 一神教
一 一神論
一 一票
一 一票人
一 一票人馬
一 一禁
一 一禮
一 一科
一 一秒
一 一秒鐘
一 一程
一 一種
一 一窩
一 一窩蜂
一 一窩風
一 一窮二白
一 一窺究竟
一 一竅
一 一竅不通
一 一站
一 一站站
一 一章
一 一端
一 一竿
一 一竿子
一 一笑
一 一笑置之
一 一筆
一 一筆劃
一 一筆勾銷
一 一筆抹煞
一 一等
一 一等一
一 一等兵
一 一等艙
一 一等親
一 一筒
一 一算
一 一算之下
一 一箭之仇
一 一箭雙雕
一 一箭雙鵰
一 一箱
一 一節
一 一節課
一 一篇
一 一簍
一 一簍簍
一 一簞食
一 一簧兩舌
一 一簽
一 一籃
一 一籌
一 一籌莫展
一 一籮筐
一 一粒
一 一粗一細
一 一系
一 一系列
一 一約
一 一紅
一 一紙
一 一紙空文
一 一級
一 一組
一 一絕
一 一統
一 一統天下
一 一絲
一 一絲一毫
一 一絲不掛
一 一絲不苟
一 一經
一 一網打盡
一 一線
一 一線之隔
一 一線天
一 一線希望
一 一線生機
一 一縮
一 一縷
一 一總
一 一缸
一 一缸水
一 一罐
一 一群
一 一群人
一 一群群
一 一義
一 一翻
一 一翻兩瞪眼
一 一翻出
一 一翻到
一 一老
一 一者
一 一而再
一 一聯
一 一聲
一 一聲不吭
一 一聲不響
一 一聲令下
一 一聲聲
一 一聽
一 一聽之下
一 一肚子
一 一肚子氣
一 一肚子火
一 一股
一 一股勁兒
一 一股腦兒
一 一胎
一 一胎化
一 一脈相傳
一 一脈相承
一 一腔
一 一腔熱血
一 一腔熱誠
一 一腳
一 一腳踢開
一 一腿
一 一臂
一 一臂之力
一 一臉
一 一臉茫然
一 一致
一 一致性
一 一致百慮
一 一臺
一 一舉
一 一舉一動
一 一舉兩得
一 一舉成名
一 一舉成擒
一 一舉數得
一 一般
一 一般人
一 一般人員
一 一般來說
一 一般化
一 一般官員
一 一般常識
一 一般性
一 一般情形
一 一般狀況
一 一般等價
一 一般等價物
一 一般而言
一 一般見識
一 一般說來
一 一船
一 一艘
一 一艘船
一 一色
一 一草
一 一草一木
一 一萬
一 一萬人
一 一萬個
一 一萬元
一 一萬塊
一 一落千丈
一 一葉
一 一葉扁舟
一 一葉知秋
一 一葦渡江
一 一蓋
一 一處
一 一號
一 一行
一 一行三昧
一 一行人
一 一行行
一 一街
一 一衝
一 一表
一 一表人才
一 一表人材
一 一袋
一 一被
一 一裝
一 一要
一 一要到
一 一見
一 一見傾心
一 一見如故
一 一見鍾情
一 一見面
一 一視同仁
一 一親芳澤
一 一覺
一 一覺睡到天亮
一 一覽
一 一覽無遺
一 一覽無餘
一 一覽表
一 一角
一 一角錢
一 一觸即爆
一 一觸即發
一 一言
一 一言一行
一 一言不合
一 一言不和
一 一言不發
一 一言中的
一 一言九鼎
一 一言以蔽之
一 一言半語
一 一言喪邦
一 一言堂
一 一言既出
一 一言為定
一 一言興邦
一 一言難盡
一 一訂
一 一記
一 一試
一 一試之下
一 一語
一 一語不發
一 一語中的
一 一語成讖
一 一語破的
一 一語道破
一 一語雙關
一 一語驚醒
一 一誤再誤
一 一說出
一 一說到
一 一說起
一 一課
一 一調
一 一調之下
一 一諾值千金
一 一諾千金
一 一講
一 一講出
一 一講到
一 一讀
一 一讀再讀
一 一變
一 一貧如洗
一 一貫
一 一貫下來
一 一貫作業
一 一貫性
一 一貫道
一 一買
一 一買一賣
一 一賣
一 一贏
一 一走
一 一走了之
一 一起
一 一起來
一 一起兒
一 一起到
一 一起去
一 一趟
一 一足
一 一跌再跌
一 一跟
一 一路
一 一路上
一 一路平安
一 一路福星
一 一路重挫
一 一路順風
一 一跳
一 一踢
一 一蹴可及
一 一蹴可幾
一 一蹴可成
一 一蹴而及
一 一蹶不振
一 一躍
一 一躍龍門
一 一身
一 一身兩役
一 一身是汗
一 一身是膽
一 一躲
一 一車
一 一車子
一 一軍
一 一較高下
一 一輛
一 一輛車
一 一輩
一 一輩兒
一 一輩子
一 一輪
一 一轉
一 一轉眼
一 一辦
一 一近
一 一途
一 一逕
一 一通
一 一通通
一 一逞獸慾
一 一連
一 一連串
一 一週
一 一週年
一 一進
一 一進來
一 一進到
一 一進去
一 一遍
一 一過
一 一過來
一 一過去
一 一道
一 一道菜
一 一遭
一 一遮
一 一遮之下
一 一邊
一 一邊倒
一 一部
一 一部分
一 一鄰
一 一醉解千愁
一 一里
一 一重
一 一量
一 一針
一 一針見血
一 一錢
一 一錢不值
一 一錯
一 一錯再錯
一 一鍋
一 一鎊
一 一鎖
一 一鏟
一 一長
一 一長一短
一 一門
一 一門忠烈
一 一閃
一 一閃即逝
一 一閃而過
一 一開
一 一開出
一 一開出來
一 一開到
一 一間
一 一關
一 一闡提
一 一防
一 一陣
一 一陣子
一 一陣陣
一 一陣雨
一 一陣風
一 一隅
一 一隊
一 一階
一 一隔
一 一隻
一 一集
一 一雙
一 一雙雙
一 一雨成災
一 一雨成秋
一 一霎
一 一霎時
一 一霎眼
一 一青
一 一面
一 一面之交
一 一面之緣
一 一面之詞
一 一面之辭
一 一面之雅
一 一面倒
一 一鞭
一 一頁
一 一頂
一 一項
一 一頓
一 一頓飯
一 一頭
一 一頭撞死
一 一頭熱
一 一頭霧水
一 一顆
一 一題
一 一類
一 一顰一笑
一 一飛沖天
一 一飯一啄
一 一飯千金
一 一飲一啄
一 一飲而盡
一 一飽
一 一飽口福
一 一飽眼福
一 一飽耳福
一 一養
一 一餐
一 一餐飯
一 一首
一 一首歌
一 一馬
一 一馬當先
一 一骨碌
一 一體
一 一體成形
一 一髮千鈞
一 一鬨而散
一 一鱗半爪
一 一鳴驚人
一 一麾出守
一 一點
一 一點一滴
一 一點也
一 一點也不
一 一點也沒
一 一點兒
一 一點鐘
一 一黨
一 一黨制
一 一黨獨大
一 一鼓作氣
一 一鼻子
一 一鼻子灰
一 一鼻孔
一 一鼻孔出氣
一 一齊
一 一齣
一 一齣戲
丁 丁
丁 丁丁
丁 丁丁冬冬
丁 丁丁當當
丁 丁上
丁 丁下
丁 丁二烯
丁 丁基橡膠
丁 丁壯
丁 丁字
丁 丁字型
丁 丁字尺
丁 丁字形
丁 丁字褲
丁 丁字鎬
丁 丁憂
丁 丁是丁卯是卯
丁 丁母憂
丁 丁烯
丁 丁烷
丁 丁班
丁 丁男
丁 丁當
丁 丁種
丁 丁種維生素
丁 丁等
丁 丁級
丁 丁肇中
丁 丁艱
丁 丁苯橡膠
丁 丁酸
丁 丁醇
丁 丁鈴噹啷
丁 丁項
丁 丁香
丁 丁香油
丁 丁香花
丂 丂
七 七
七 七一
七 七七
七 七七事變
七 七上
七 七上八下
七 七下
七 七世
七 七世夫妻
七 七人
七 七仙女
七 七代
七 七位
七 七位數
七 七俠五義
七 七個
七 七個人
七 七倍
七 七億
七 七億人
七 七元
七 七公
七 七出
七 七分
七 七分鐘
七 七劃
七 七十
七 七十二變
七 七千
七 七千人
七 七千元
七 七古
七 七名
七 七員
七 七哥
七 七喜
七 七嘴八舌
七 七回
七 七圈
七 七國
七 七團
七 七堵
七 七夕
七 七天
七 七套
七 七孔流血
七 七孔生煙
七 七寶
七 七尺
七 七尺之驅
七 七層
七 七層樓
七 七巧板
七 七巷
七 七平八穩
七 七年
七 七年之癢
七 七年級
七 七度
七 七座
七 七弟
七 七弦琴
七 七彩
七 七彩繽紛
七 七律
七 七情
七 七情六慾
七 七情六欲
七 七成
七 七手八腳
七 七扭八歪
七 七折
七 七折八扣
七 七拐八拐
七 七拳
七 七拼八湊
七 七排
七 七擒七縱
七 七支
七 七日
七 七早八早
七 七星
七 七星壇
七 七星山
七 七星岩
七 七星巖
七 七星板
七 七星燈
七 七星瓢蟲
七 七景
七 七月
七 七月份
七 七月革命
七 七杯
七 七枝
七 七格
七 七桶
七 七梯次
七 七樓
七 七橫八豎
七 七次
七 七步
七 七步之才
七 七步奇才
七 七步成詩
七 七步詩
七 七派
七 七滅諍法
七 七滴
七 七爺
七 七爺八爺
七 七片
七 七百
七 七百人
七 七百元
七 七盒
七 七盤
七 七盤菜
七 七票
七 七秒
七 七秒鐘
七 七種
七 七竅
七 七竅冒煙
七 七竅生煙
七 七站
七 七筆
七 七節
七 七節課
七 七篇
七 七級
七 七級風
七 七絃琴
七 七絕
七 七線
七 七美
七 七老八十
七 七聲
七 七股
七 七色
七 七色板
七 七萬
七 七葉膽
七 七葷八素
七 七藝
七 七號
七 七行
七 七行詩
七 七袋
七 七覺支
七 七言
七 七言律詩
七 七言絕句
七 七言詩
七 七路
七 七輛
七 七輛車
七 七通
七 七部
七 七鄰
七 七里香
七 七重
七 七重唱
七 七重奏
七 七除八扣
七 七隻
七 七雄
七 七零八落
七 七音
七 七題
七 七顛八倒
七 七點
七 七點時
七 七點鐘
丄 丄
丅 丅
万 万
丈 丈
丈 丈二和尚
丈 丈二金剛
丈 丈人
丈 丈六金身
丈 丈夫
丈 丈母
丈 丈母娘
丈 丈量
丈 丈量法
三 三
三 三一學院
三 三七
三 三七五減租
三 三七仔
三 三三兩兩
三 三上
三 三下
三 三不五時
三 三不朽
三 三不管
三 三世
三 三世紀
三 三丙
三 三乙
三 三九
三 三五好友
三 三五成群
三 三人
三 三人份
三 三人成虎
三 三人行
三 三仁
三 三代
三 三代同堂
三 三令五申
三 三任
三 三份
三 三伍
三 三伏
三 三伯
三 三伯母
三 三伯父
三 三位
三 三位一體
三 三位數
三 三保太監
三 三俠五義
三 三信
三 三個
三 三個世界
三 三個人
三 三個和尚沒水喝
三 三個月
三 三個臭皮匠
三 三倍
三 三催四請
三 三億
三 三億人
三 三億元
三 三元
三 三元裡
三 三元里
三 三光
三 三克
三 三八
三 三八婦女節
三 三公
三 三具
三 三分
三 三分之一
三 三分之二
三 三分法
三 三分球
三 三分線
三 三分鐘
三 三分頭
三 三劍客
三 三十
三 三十七道品
三 三十二相
三 三十六計
三 三十年代
三 三十而立
三 三千
三 三千人
三 三千個
三 三千元
三 三千塊
三 三原
三 三原色
三 三叉戟
三 三叉骨
三 三句
三 三句不離
三 三句話
三 三句話不離本行
三 三台
三 三台聯播
三 三合
三 三合一
三 三合土
三 三合會
三 三合板
三 三吋
三 三吋半
三 三同
三 三向
三 三吳
三 三周
三 三周年
三 三和弦
三 三和路
三 三品
三 三員
三 三哥
三 三商
三 三商虎
三 三商行
三 三商銀
三 三善根
三 三國
三 三國志
三 三國時代
三 三國演義
三 三國誌
三 三國鼎立
三 三圍
三 三圓
三 三地門
三 三堆
三 三場
三 三塊
三 三塊錢
三 三壇大戒
三 三壘手
三 三多
三 三夜
三 三大
三 三大塊
三 三大差別
三 三大政策
三 三大洋
三 三大片
三 三大革命
三 三大革命運動
三 三大類
三 三天
三 三天兩頭
三 三天打魚
三 三夾板
三 三好
三 三妻四妾
三 三姑
三 三姑六婆
三 三姓
三 三字
三 三字經
三 三孝
三 三季
三 三學
三 三定
三 三客
三 三害
三 三寶
三 三寶弟子
三 三寸
三 三寸丁
三 三寸不爛
三 三寸不爛之舌
三 三寸舌
三 三寸金蓮
三 三專
三 三專制
三 三專生
三 三對
三 三小
三 三小塊
三 三小時
三 三小片
三 三尺
三 三局
三 三屆
三 三層
三 三層樓
三 三山五嶽
三 三岔口
三 三岔路
三 三岔路口
三 三峽
三 三巷
三 三師
三 三年
三 三年五載
三 三年制
三 三年有成
三 三年生
三 三年級
三 三度
三 三度空間
三 三座大山
三 三廢
三 三式
三 三弦
三 三弦樂器
三 三弦琴
三 三張
三 三張犁
三 三從
三 三從四德
三 三復
三 三心二意
三 三心兩意
三 三思
三 三思而後
三 三思而後行
三 三思而行
三 三態
三 三態變化
三 三成
三 三成新
三 三截
三 三戰
三 三戰兩勝
三 三戶
三 三戶亡秦
三 三房
三 三房一廳
三 三房二廳
三 三才
三 三打
三 三拍
三 三振
三 三振出局
三 三掌
三 三排
三 三摩地
三 三支
三 三教九流
三 三斑家蚊
三 三方
三 三方面
三 三族
三 三日
三 三日份
三 三日打魚
三 三明治
三 三星
三 三星期
三 三星級
三 三春柳
三 三昧
三 三昧真火
三 三昧耶
三 三昧耶戒
三 三昧耶曼陀羅
三 三時
三 三晉
三 三晚
三 三智
三 三更
三 三更半夜
三 三月
三 三月份
三 三朝
三 三朝元老
三 三杯
三 三杯雞
三 三板
三 三枝
三 三格
三 三棱
三 三棱鏡
三 三棵
三 三極
三 三極真空
三 三極管
三 三槓
三 三樁
三 三樓
三 三樓住戶
三 三樣
三 三權分立
三 三次
三 三正
三 三步
三 三歲
三 三歲時
三 三段
三 三段制
三 三段式
三 三段票
三 三段論法
三 三民
三 三民主義
三 三民路
三 三氯化鉍
三 三氯甲烷
三 三水
三 三法
三 三法印
三 三流
三 三淨肉
三 三溫暖
三 三焦
三 三爺
三 三版
三 三牲
三 三班
三 三班制
三 三瓣
三 三生
三 三生有幸
三 三申五令
三 三番五次
三 三番兩次
三 三百
三 三百人
三 三百個
三 三百元
三 三百六十
三 三百六十度
三 三百六十行
三 三百塊
三 三百篇
三 三皇
三 三皇五帝
三 三盒
三 三盞
三 三相
三 三眼
三 三碗
三 三禮
三 三秋
三 三科
三 三秒
三 三秒鐘
三 三稜錐
三 三稜鏡
三 三站
三 三章
三 三等
三 三等艙
三 三等親
三 三箱
三 三節
三 三節課
三 三級
三 三級跳
三 三級跳遠
三 三結合
三 三統
三 三維縣
三 三綱
三 三綱五常
三 三緘其口
三 三總
三 三缸
三 三缺一
三 三義
三 三老
三 三老四嚴
三 三聯
三 三聯劇
三 三聯單
三 三聯式
三 三聲
三 三聲無奈
三 三股
三 三胎
三 三胞胎
三 三腳
三 三腳架
三 三腳貓
三 三自性
三 三色
三 三色筆
三 三芝
三 三苦
三 三菱
三 三萬
三 三萬人
三 三萬個
三 三萬元
三 三萬塊
三 三葉期
三 三葉蟲
三 三藏
三 三藐三菩提
三 三藩市
三 三號
三 三行
三 三街
三 三袋
三 三複
三 三角
三 三角函數
三 三角學
三 三角帆
三 三角形
三 三角戀愛
三 三角方程
三 三角旗
三 三角板
三 三角架
三 三角柱
三 三角洲
三 三角測量
三 三角瓶
三 三角皮帶
三 三角肌
三 三角褲
三 三角錐
三 三角錢
三 三角鐵
三 三言兩語
三 三課
三 三請四喚
三 三諦
三 三讀
三 三讀會
三 三讀通過
三 三足鼎立
三 三跪九叩
三 三軍
三 三軍總醫院
三 三輕
三 三輪
三 三輪兒
三 三輪式
三 三輪車
三 三通
三 三通閥
三 三連
三 三週
三 三週年
三 三達德
三 三部
三 三部合唱
三 三部曲
三 三重
三 三重人
三 三重人格
三 三重唱
三 三重奏
三 三重市
三 三重秘傳
三 三針
三 三錢
三 三鍋
三 三長兩短
三 三長制
三 三門
三 三門峽
三 三閭大夫
三 三關
三 三陣
三 三陽
三 三陽開泰
三 三隊
三 三階
三 三障
三 三隻
三 三隻手
三 三集
三 三青團
三 三面
三 三面亞當
三 三面夏娃
三 三面紅旗
三 三面體
三 三頁
三 三項
三 三項式
三 三頭
三 三頭六臂
三 三顆
三 三顧茅廬
三 三顧茅蘆
三 三風十愆
三 三餐
三 三餐不繼
三 三魂七魄
三 三鮮
三 三麥
三 三點
三 三點式
三 三點水
三 三點鐘
上 上
上 上一代
上 上上
上 上上下下
上 上上之策
上 上上個月
上 上上星期
上 上下
上 上下其手
上 上下文
上 上下級
上 上下顛倒
上 上不來
上 上不去
上 上不起
上 上世
上 上中下游
上 上中農
上 上乘
上 上了
上 上交
上 上京
上 上人
上 上代
上 上任
上 上位
上 上來
上 上來到
上 上供
上 上傳
上 上元
上 上元節
上 上光
上 上兵
上 上冊
上 上凍
上 上刑
上 上列
上 上到
上 上前
上 上前來
上 上前去
上 上匾
上 上區
上 上千
上 上千人
上 上升
上 上午
上 上半
上 上半場
上 上半夜
上 上半天
上 上半年
上 上半身
上 上半部
上 上原
上 上去
上 上口
上 上古
上 上古史
上 上古時代
上 上台
上 上台演唱
上 上台演奏
上 上台演講
上 上司
上 上吊
上 上吊自殺
上 上吐下瀉
上 上告
上 上周
上 上品
上 上回
上 上圈
上 上國
上 上坡
上 上坡路
上 上坡道
上 上堂
上 上報
上 上場
上 上場比賽
